Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP2_Full64; Runtime version X-2025.06-SP2_Full64;  May 21 19:04 2026
FP_TRACE PC: 80000040 | Instr: 0001aa87 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000048 | Instr: 0001af87 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000050 | Instr: 0001a707 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000005c | Instr: 71fabb43 | rs1: ffffffffbfc00000 | rs2: ffffffff5a11d9b7 | rs3: ffffffffffffffff | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000080 | Instr: 0162a027 | rs1: 0000000000000000 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800000bc | Instr: 0001a487 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800000c4 | Instr: 0001a087 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800000cc | Instr: 0001af07 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800000dc | Instr: f014f8c3 | rs1: ffffffffbfc00000 | rs2: ffffffffadf15108 | rs3: ffffffff7f800001 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000100 | Instr: 0112a027 | rs1: 0000000000000000 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000140 | Instr: 0001af87 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000148 | Instr: 0001aa87 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000150 | Instr: 0001ab07 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000015c | Instr: b15fa843 | rs1: ffffffffbfc00000 | rs2: ffffffff0a2afd05 | rs3: ffffffff7f800001 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000180 | Instr: 0102a027 | rs1: 0000000000000000 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800001bc | Instr: 0001a787 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800001c4 | Instr: 0001a287 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800001cc | Instr: 0001a587 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800001d8 | Instr: 5857cec3 | rs1: ffffffffbfc00000 | rs2: ffffffff3d8b5569 | rs3: ffffffff7f800001 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000200 | Instr: 01d2a027 | rs1: ffffffff3d8b5569 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000023c | Instr: 0001a387 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000244 | Instr: 0001a507 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000024c | Instr: 0001a607 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000258 | Instr: 60a38f43 | rs1: ffffffffbfc00000 | rs2: ffffffff74b7db39 | rs3: ffffffff7f800001 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000280 | Instr: 01e2a027 | rs1: ffffffff3d8b5569 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800002bc | Instr: 0001a787 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800002c4 | Instr: 0001a807 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800002cc | Instr: 0001ac87 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800002d8 | Instr: c9079543 | rs1: ffffffffbfc00000 | rs2: fffffffffadea0b6 | rs3: ffffffff7f800001 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000300 | Instr: 00a2a027 | rs1: ffffffff3d8b5569 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000033c | Instr: 0001a507 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000344 | Instr: 0001a787 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000034c | Instr: 0001ae07 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000358 | Instr: e0f53ec3 | rs1: ffffffffbfc00000 | rs2: ffffffff6da2e224 | rs3: ffffffff7f800001 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000380 | Instr: 01d2a027 | rs1: ffffffff3d8b5569 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800003bc | Instr: 0001ae07 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800003c4 | Instr: 0001a507 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800003cc | Instr: 0001ac07 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800003dc | Instr: c0ae7343 | rs1: ffffffffbfc00000 | rs2: ffffffff464ff164 | rs3: ffffffff7fbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000400 | Instr: 0062a027 | rs1: ffffffff3d8b5569 | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000440 | Instr: 0001a407 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000448 | Instr: 0001a687 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000450 | Instr: 0001a287 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000045c | Instr: 28d42ac3 | rs1: ffffffffbfc00000 | rs2: ffffffff636f3c51 | rs3: ffffffff7fbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000480 | Instr: 0152a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 800004bc | Instr: 0001ab07 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800004c4 | Instr: 0001a707 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800004cc | Instr: 0001a607 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800004d8 | Instr: 60eb48c3 | rs1: ffffffffbfc00000 | rs2: ffffffff57b88fa6 | rs3: ffffffff7fbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000500 | Instr: 0112a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 8000053c | Instr: 0001ad87 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000544 | Instr: 0001a887 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000054c | Instr: 0001a487 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000558 | Instr: 491d8a43 | rs1: ffffffffbfc00000 | rs2: ffffffff38766cc9 | rs3: ffffffff7fbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000580 | Instr: 0142a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 800005bc | Instr: 0001a387 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800005c4 | Instr: 0001a187 | rs1: 0000000000000000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800005cc | Instr: 0001a607 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800005d8 | Instr: 60339143 | rs1: ffffffffbfc00000 | rs2: ffffffff7a40fc8d | rs3: ffffffff7fbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000600 | Instr: 0022a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 8000063c | Instr: 0001a987 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000644 | Instr: 0001a687 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000064c | Instr: 0001a707 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000658 | Instr: 70d9bbc3 | rs1: ffffffffbfc00000 | rs2: ffffffffa999c8bd | rs3: ffffffff7fbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000680 | Instr: 0172a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 800006bc | Instr: 0001a607 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800006c4 | Instr: 0001af87 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800006cc | Instr: 0001ac87 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800006dc | Instr: c9f679c3 | rs1: ffffffffbfc00000 | rs2: ffffffff47cfbcb7 | rs3: ffffffffffbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000700 | Instr: 0132a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000740 | Instr: 0001a107 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000748 | Instr: 0001a987 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000750 | Instr: 0001ac07 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000075c | Instr: c1312ac3 | rs1: ffffffffbfc00000 | rs2: ffffffff11f7bdf3 | rs3: ffffffffffbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000780 | Instr: 0152a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 800007bc | Instr: 0001ac87 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800007c4 | Instr: 0001aa87 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800007cc | Instr: 0001a407 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800007d8 | Instr: 415cc9c3 | rs1: ffffffffbfc00000 | rs2: ffffffffd4de8e57 | rs3: ffffffffffbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000800 | Instr: 0132a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 8000083c | Instr: 0001a707 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000844 | Instr: 0001a187 | rs1: ffffffff7a40fc8d | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000084c | Instr: 0001aa87 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000858 | Instr: a83708c3 | rs1: ffffffffbfc00000 | rs2: ffffffffa82f25e1 | rs3: ffffffffffbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000880 | Instr: 0112a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 800008bc | Instr: 0001a907 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800008c4 | Instr: 0001a987 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800008cc | Instr: 0001af07 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800008d8 | Instr: f1391e43 | rs1: ffffffffbfc00000 | rs2: ffffffff6ac28a6d | rs3: ffffffffffbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000900 | Instr: 01c2a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 8000093c | Instr: 0001af87 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000944 | Instr: 0001a687 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 8000094c | Instr: 0001af07 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000958 | Instr: f0dfb4c3 | rs1: ffffffffbfc00000 | rs2: ffffffff572d6e33 | rs3: ffffffffffbfffff | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000980 | Instr: 0092a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7fc00000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 800009bc | Instr: 0001a887 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800009c4 | Instr: 0001ad87 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800009cc | Instr: 0001a307 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 800009dc | Instr: 31b8fa43 | rs1: ffffffffbfc00000 | rs2: ffffffff21e10350 | rs3: ffffffff7ef8654f | alu_res: ffffffff7ef8654f | fflags: 00001
FP_TRACE PC: 80000a00 | Instr: 0142a027 | rs1: ffffffff7fbfffff | rs2: ffffffff7ef8654f | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 10000
FP_TRACE PC: 80000a40 | Instr: 0001af07 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
