Design Module List

Total Module Definition Coverage Summary 
SCORE  LINE   COND   TOGGLE FSM    BRANCH ASSERT 
 35.54  56.05  40.62  10.79 --      36.90  33.33 


Total modules in report: 32
-------------------------------------------------------------------------------
SCORE  LINE   COND   TOGGLE FSM    BRANCH ASSERT NAME            
  0.00 --     --     --     --     --       0.00 uvm_pkg         
  3.56   3.77   7.69   0.00 --       2.78 --     alu             
 13.84  12.73  28.30   0.71 --      13.64 --     dmem            
 19.84  17.56  11.70  41.76 --       8.33 --     control_unit    
 20.78  39.53  19.44   0.00 --      24.14 --     fp_cmp          
 22.55 --     --      22.55 --     --     --     riscv_if        
 26.39  45.88  31.03   0.45 --      28.21 --     fp_cvt          
 28.22  39.66  46.88   8.84 --      17.50 --     csr_file        
 30.50  46.43  44.44   0.83 --      30.30 --     fp_alu          
 34.31  62.69  12.12  12.43 --      50.00 --     fp_round_pack   
 35.37  56.03  34.85   3.36 --      47.22 --     fp_fma          
 38.18  67.65  42.86   0.00 --      42.22 --     fp_divsqrt      
 38.54  62.50  41.67   0.00 --      50.00 --     fp_sgnj         
 40.79  84.00  37.04   0.00 --      42.11 --     fp_unpack       
 42.45  25.00 --      88.06 --      14.29 --     imm_gen         
 42.66 --     --      42.47 --     --      42.86 riscv_sva       
 45.23  71.43  58.33   6.71 --      44.44 --     fpr             
 48.71  70.00 --      26.12 --      50.00 --     pc              
 48.91  60.00  61.29  41.03 --      33.33 --     forwarding_unit 
 51.24  82.61  50.00   5.69 --      66.67 --     iq              
 54.44  69.77  46.67  55.88 --      45.45 --     tb_uvm_top      
 55.89  92.45  55.43  19.61 --      56.08 --     riscv_top       
 58.59 --     --      58.59 --     --     --     imem            
 59.87  72.22  61.70  55.56 --      50.00 --     hazard_unit     
 61.44 100.00  65.71  13.36 --      66.67 --     register_file   
 62.61  87.50  57.38  50.00 --      55.56 --     rat             
 63.12 100.00 --      14.36 --      75.00 --     pipe_ex_mem     
 64.02 100.00  48.48   7.58 --     100.00 --     rob             
 64.06 100.00 --      17.18 --      75.00 --     pipe_id_ex      
 65.92 100.00 --      22.77 --      75.00 --     pipe_mem_wb     
 80.53 100.00 --      41.58 --     100.00 --     pipe_if_id      
100.00 100.00 100.00 100.00 --     100.00 --     icg             

